,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
377,603000.SH,20231127,32.75,34.3,32.75,33.17,32.72,0.45,1.3753,418143.1,1394151.137,33.17,3.7817,8.7047,1.01,118.2323,136.4406,10.5026,18.544,18.1067,0.3166,0.4914,110569.1056,110569.1056,48036.5035,3667577.2328,3667577.2328
378,603000.SH,20231124,32.45,33.85,32.45,32.72,32.35,0.37,1.1437,430275.25,1422953.494,32.72,3.8915,8.9573,1.05,116.6283,134.5896,10.3601,18.2924,17.861,0.3209,0.4982,110569.1056,110569.1056,48036.5035,3617821.1352,3617821.1352
379,603000.SH,20231123,33.18,33.18,31.14,32.35,33.41,-1.06,-3.1727,437745.07,1400667.251,32.35,3.959,9.1128,1.03,115.3094,133.0676,10.243,18.0856,17.659,0.3246,0.5039,110569.1056,110569.1056,48036.5035,3576910.5662,3576910.5662
380,603000.SH,20231122,32.75,34.77,32.68,33.41,32.91,0.5,1.5193,687101.58,2339441.551,33.41,6.2142,14.3037,1.86,119.0877,137.4278,10.5786,18.6782,18.2377,0.3143,0.4879,110569.1056,110569.1056,48036.5035,3694113.8181,3694113.8181
381,603000.SH,20231121,33.23,33.58,32.8,32.91,33.25,-0.34,-1.0226,254520.35,843518.391,32.91,2.3019,5.2985,0.64,117.3055,135.3711,10.4203,18.3986,17.9647,0.3191,0.4953,110569.1056,110569.1056,48036.5035,3638829.2653,3638829.2653
382,603000.SH,20231120,33.0,33.65,32.68,33.25,33.22,0.03,0.0903,266324.76,882671.28,33.25,2.4087,5.5442,0.58,118.5174,136.7697,10.528,18.5887,18.1503,0.3158,0.4902,110569.1056,110569.1056,48036.5035,3676422.7612,3676422.7612
383,603000.SH,20231117,33.7,33.78,32.5,33.22,33.9,-0.68,-2.0059,408751.54,1347437.808,33.22,3.6968,8.5092,0.94,118.4105,136.6463,10.5185,18.572,18.134,0.3161,0.4907,110569.1056,110569.1056,48036.5035,3673105.688,3673105.688
384,603000.SH,20231116,33.04,35.0,33.03,33.9,33.41,0.49,1.4666,500833.52,1710018.942,33.9,4.5296,10.4261,1.24,120.8343,139.4434,10.7338,18.9521,18.5051,0.3097,0.4808,110569.1056,110569.1056,48036.5035,3748292.6798,3748292.6798
385,603000.SH,20231115,33.49,34.44,33.2,33.41,33.36,0.05,0.1499,417159.69,1406576.177,33.41,3.7728,8.6842,1.03,119.0877,137.4278,10.5786,18.6782,18.2377,0.3143,0.4879,110569.1056,110569.1056,48036.5035,3694113.8181,3694113.8181
386,603000.SH,20231114,33.22,33.65,32.9,33.36,33.07,0.29,0.8769,380656.3,1264556.485,33.36,3.4427,7.9243,0.95,118.9095,137.2221,10.5628,18.6502,18.2104,0.3147,0.4886,110569.1056,110569.1056,48036.5035,3688585.3628,3688585.3628
