股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20210723,week,13.25,14.09,12.95,13.75,13.2,10.65,11.33,10.41,11.06,96.53,102.65,94.34,100.17,1603803.45,2157472.13,0.55,0.04
600580.SH,20210716,week,13.4,14.3,12.66,13.35,13.17,10.65,11.37,10.06,10.61,96.52,103.0,91.19,96.16,2102700.76,2824706.41,0.18,0.01
600580.SH,20210709,week,12.5,13.2,12.08,13.17,12.54,9.94,10.49,9.6,10.47,90.04,95.08,87.01,94.86,1357357.34,1720163.82,0.63,0.05
600580.SH,20210702,week,13.31,13.48,12.36,12.54,13.29,10.58,10.72,9.83,9.97,95.87,97.1,89.03,90.33,1248222.17,1622715.34,-0.75,-0.06
600580.SH,20210625,week,12.04,13.63,12.03,13.29,12.04,9.57,10.84,9.56,10.56,86.72,98.18,86.65,95.73,2163031.07,2835906.27,1.25,0.1
600580.SH,20210618,week,11.72,12.12,11.34,12.04,11.74,9.32,9.63,9.01,9.57,84.42,87.3,81.68,86.72,633962.04,739503.28,0.3,0.03
600580.SH,20210611,week,12.09,12.44,11.7,11.74,12.08,9.61,9.89,9.3,9.33,87.08,89.61,84.28,84.56,965015.59,1170670.89,-0.34,-0.03
600580.SH,20210604,week,11.45,12.18,11.41,12.08,11.4,9.1,9.68,9.07,9.6,82.47,87.73,82.19,87.01,1017946.44,1205255.48,0.68,0.06
600580.SH,20210528,week,10.97,11.6,10.97,11.4,11.06,8.72,9.22,8.72,9.06,79.02,83.55,79.02,82.11,669624.24,755935.4,0.34,0.03
600580.SH,20210521,week,10.8,11.52,10.62,11.06,10.77,8.59,9.16,8.44,8.79,77.79,82.98,76.5,79.67,843451.78,936791.29,0.29,0.03
600580.SH,20210514,week,10.61,10.83,10.06,10.77,10.55,8.43,8.61,8.0,8.56,76.42,78.01,72.46,77.58,658161.76,690084.66,0.22,0.02
600580.SH,20210507,week,10.43,10.85,10.41,10.55,10.65,8.29,8.63,8.28,8.39,75.13,78.15,74.98,75.99,248355.84,263266.73,-0.1,-0.01
